sub_id,assignment,created_at,token,condition,age,sex,engagement,difficulty,feedback,start_time,allow_regeneration,total_points,summary,message_how,message_rules,reflect_duration_ms,task_duration_ms,composition_duration_ms
80,medium,2026-04-21 11:24:28,YX3WX2SA,medium,57,female,10,10,i found that so difficult,12_12_10,TRUE,22,remember what keys to press is a good start.,the light orange squared triangle works well,triangle and diamond also works,53878,413484,113984
81,hard,2026-04-21 11:24:29,CLSBD4KA,hard,29,female,6,5,NA,12_17_14,TRUE,373,Diamonds and Trianges go together\nCircles and Squares go together,"Diamonds and trianges go together\nCircles and squares go together\nPatterns must match\nPick up diamond first then triangle, then triangle first then diamond then merge those two","Diamonds and trianges go together\nCircles and squares go together\nPatterns must match\nPick up diamond first then triangle, then triangle first then diamond then merge those two",22800,235736,61313
82,easy,2026-04-21 11:24:59,XB38R5OO,easy,37,male,5,3,na,12_19_09,TRUE,310041,Trying to merge same shapes but not really consdiering the colour,Just pick all the same shapes until it goes purple,picking all same shapes until it goes purple for1000000 points,31966,191080,43287
83,easy,2026-04-21 11:25:36,WDH1G3HL,easy,40,male,10,7,I didnt figure out the best strategy until Id finished the game and I dont think any of the tips provided helped which suggests the other players tips werent real just part of the experiment.,12_11_17,TRUE,4011,"Match shape, dont forget to drop them, cash in only when they turn purple.","Match shapes like for like (triangle with triangle, etc...), always try to fuse a red shape with a higher ranking colour to maximise points.","Colours dont have to match to fuse, but fusing a red (common) colour to a higher ranked colour will boost the top colour to the next level. I didnt figure this out till the end of the game, so I didnt do so well.",31866,229028,274906
84,easy,2026-04-21 11:25:57,F84BDCGS,easy,44,female,10,4,na,12_16_01,TRUE,40222,match the shapes for fusing and keep matching until you can get purple,Match the shapes together and take the ones with the most matching shapes first as sometimes more shapes will spawn randomly,match the shapes but dont worry about the rest as it doesnt seem to make a difference (colour patter etc),32900,263228,62023
85,easy,2026-04-21 11:26:05,1VN3ST0Y,easy,43,female,10,1,it was a fun little study,12_13_02,TRUE,121,people said take your time and the same shapes merge with same shapes regardless of colour to make new gems,Match the same shapes regardless of pattern... all mine seemed to have the same points value,No time limit so take your time until your moves are used up and it says game over,41886,445418,71191
86,medium,2026-04-21 11:26:24,E5KJVSMX,medium,30,female,3,10,It is difficul to understand the game,12_17_24,TRUE,100000,Combine the triangles with circules and the squares with diamonds,the circules not always match with square and the diamond with triangle.,Different patter match,62299,203552,132063
87,hard,2026-04-21 11:28:35,JGEXU2F2,hard,38,male,10,3,none,12_12_59,TRUE,200316,Fusion rules & patterns: Diamonds and triangles go together. Circles and squares go together,"diamond + triangle, and repeat until purple. same goes for circle + square.","diamond + triangle, and repeat until purple. same goes for circle + square.",12064,273239,65824
88,easy,2026-04-21 11:29:03,W8JQTZ0G,easy,42,male,7,6,Confusing initially.,12_11_27,TRUE,1,"shapes merge with the same shape e.g. triangle with triangle, patterns dont seem to matter, shapes dont seem to merge with different shapes e.g. square with diamond\nonly merge items of the shape shape - they always merged for me and no mixtures of shapes merged",Focus on shapes and take your time.,Only the same shapes will work.,54101,480845,67076
89,easy,2026-04-21 11:31:31,0CZ3ONV8,easy,49,female,8,3,none,12_21_19,TRUE,300030,Merge same shapes. Colour and pattern do not matter. Wait until purple to cash in.,"Merge same shapes. Wait until purple to cash in. There is no time limit, just a moves limit (40).",A purple diamond cannot be harvested so concentrate on other shapes first. Maybe try harvesting a diamond when it is blue (the stage before purple).,22194,265053,108970
90,medium,2026-04-21 11:34:51,7791P6WC,medium,70,male,7,8,I hated it but there you go ,12_21_02,TRUE,4,"Combine triangles with circles, and squares with diamonds, and bank purples",Make sure you understand the controls before you start,I couldnt work out the controls in time,241079,148911,58771
91,hard,2026-04-21 11:40:18,YQQGXHU9,hard,38,female,5,4,No further comments.,12_23_15,TRUE,21405,Fusion pairs: Diamonds/triangles; circles/squares.\nPatterns must match.\nDiamonds/triangles may be the bigger scorers.,"Learn the pattern fusion order early on. Crystals dont respawn very quickly, so try to maximise a high chain, if you can.","I was told the only shape pairs that work are diamonds with triangles and circles with squares. Same shapes do not fuse (eg. circles with circles).\n\nAlthough matching patterns guarantee a fusion, non-matching patterns can work within a certain order: plain - dotted - criss-cross (I was, unfortunately, not able to work out where diagonal stripes fitted into the order). If you can figure out the pattern order, it can help maximise your points chain.",67145,343561,345143
