sub_id,assignment,created_at,token,condition,age,sex,engagement,difficulty,feedback,start_time,allow_regeneration,total_points,summary,message_how,message_rules,reflect_duration_ms,task_duration_ms,composition_duration_ms
48,medium,2026-04-20 10:12:15,JMCXYJ8V,medium,67,female,8,7,still felt like trial and error even with the participant input,11_03_12,TRUE,100113,"Focus on building up crystals by repeating the same successful combinations, especially matching the right shape pairs. If I get a high value crystal like purple.. harvest it instead of risking losing value. Also, drop strong crystals before trying new merges so I do not accidentally downgrade them...","Focus on finding one working combination early, then keep repeating it with the same shape to quickly scale up points instead of testing everything randomly. Stick to shape pairs that work and keep stacking them to reach higher value crystals faster.","Patterns matter more than colours... Certain shapes consistently combine with specific partners, and once you find that pairing, keep using it in the same order to keep increasing the crystal value.",19250,87519,43255
49,medium,2026-04-20 10:14:45,02HQ4EVN,medium,30,female,6,7,no,11_05_55,TRUE,121,Triangle + Diamond stack more diamonds. \nSquare + Circle keep stacking circles. Pick up in this order.,Square + Circle. \nTriangle + Diamond.,Choose different patterns.,66341,271385,54010
50,easy,2026-04-20 10:14:47,X5TGIVA8,easy,52,male,10,2,Was a fun experiment.,11_01_39,TRUE,11320,Merge same shapes first. Pair all shapes first. When purple cash in.,Merge same shapes first. Pair all shapes first. When purple cash in.,Circles gave me more points in the end.,69584,388306,60521
51,easy,2026-04-20 10:14:49,6MIGVNDA,easy,28,female,10,7,None Thank you!,11_09_58,TRUE,0,"Merge the same shapes - dont bother trying to merge shapes that are different (for example, merge triangles; not a triangle and a square).","Match the same shapes (triangles with triangles). Each pattern on the shape can only be matched in a sequence once (for example, a plain triangle can match a dotty one, but it cant then go back and match another plain).",Similar shapes match. Odd shapes never match.,37646,195490,66613
52,medium,2026-04-20 10:15:33,4BO0I9HT,medium,26,male,9,1,No other comments. Enjoyed this one though very unique :),11_05_40,TRUE,202012,"Triangles combine with diamonds, squares combine with circles. DO NOT use the same shapes to fuse.\n\nP.s bank PURPLE gems always - as value wont increase.","Only combine Triangles with Circles, and Squares with Diamonds (and vice versa both) - no other combination will work.\n\nP.s when you get to purple colour, bank it! the value wont increase.",I noticed that triangles combine with circles and squares with diamonds (vice versa).,57917,272655,95371
53,easy,2026-04-20 10:19:22,73ER1ZPE,easy,38,other,10,1,it was fun,11_04_45,TRUE,400040,same shapes are can merge and try to merge red ones together to get purple,get the same shape until you find a purple colour.,"theres no time, so dont rush",59883,202770,84479
54,medium,2026-04-20 10:20:55,KP9IDV2G,medium,33,female,6,6,no,11_01_36,TRUE,100037,I need to find a combination of shape that would keep multiplying if I keep going for the same shape.,Try to look for a combination that would keep multiplying. Try t bank a purple gem if found.,I didnt notice any pattern between the shapes.,115166,318790,150535
55,hard,2026-04-20 10:23:12,3WB0KMG2,hard,44,male,10,6,No comments thank you. ,11_08_46,TRUE,645,"Combine diamond, triangle, triangle and convert. \nCombine circle, square, square and convert.","Diamond, triangle, triangle was a good combination before harvesting most of the time as was circle, square, square.",I found usually if the pattern on the symbol matched it guaranteed 100 points.,72022,392349,93441
56,medium,2026-04-20 10:23:33,8EOZXJAK,medium,52,male,8,3,None,11_13_30,TRUE,175,"Combine Triangles and Diamonds, and Circles and Squares","Try circle then square or diamond then triangle, of the same colour. There could be a transition between them but I ran out of moves",Circle then square or diamond then triangle.,28611,191276,126849
57,hard,2026-04-20 10:25:15,LOE5UUR7,hard,71,female,9,8,enjoyable but I couldnt work out the final move of each pick up.,11_02_29,TRUE,27,"look around the board first\n\nDont forget to harvest.\n\nCombine diamond + triangle to make a better diamond, then another triangle, then another triangle, to get to a blue diamond for high pointsDiamonds and triangles go together. Circles and squares go together","collect diamond and triangle, or square and circle.\nJot down the rules regarding spacebar etc before starting.  Work out how to complete each move-I got confused because once Id collected a pair I couldnt Drop.","collect diamond and triangle, or square and circle.",118784,569785,244190
58,easy,2026-04-20 10:26:03,JBM4K0MA,easy,43,female,8,6,I enjoyed this thanks,11_18_02,TRUE,302021,"Shapes first, until they are purple then cash in.  All the same shapes.",Just keep matching the same shapes until the shape you have is purple then harvest.  Dont pay attention to the patterns.,Works with same shapes to combine,43972,157984,53459
59,medium,2026-04-20 10:33:45,LLSITCJK,medium,53,male,8,9,nothing else to add,11_13_28,TRUE,1020,Try different combinations of shape to gain more points,"try and play better than i did, which wont be hard","not really no, just using different shapes.",114445,258317,36261
